STATE_ABBR,AMA_SITE_CODE,AQS_POC,PROGRAM,YEAR,QUARTER,SAMPLE_DATE,SAMPLE_START_TIME,AQS_PARAMETER_CODE,AQS_PARAMETER_NAME,DATA_SOURCE,DURATION_DESC,SAMPLE_VALUE_REPORTED,AQS_UNIT_CODE,UNIT_DESC,SAMPLING_FREQUENCY_CODE,COMMENT,SAMPLE_VALUE_STD_FINAL_UG_M3,SAMPLE_VALUE_STD_FINAL_TYPE,AQS_PARAMETER_CODE_FINAL,AQS_PARAMETER_NAME_FINAL,ALTERNATE_MDL,MDL_STD_UG_M3,MDL_TYPE,AQS_NULL_DATA_CODE,AQS_QUALIFIER_01,AQS_QUALIFIER_02,AQS_QUALIFIER_03,AQS_QUALIFIER_04,AQS_QUALIFIER_05,AQS_QUALIFIER_06,AQS_QUALIFIER_07,AQS_QUALIFIER_08,AQS_QUALIFIER_09,AQS_QUALIFIER_10,AQS_METHOD_CODE,SAMPLE_COLLECTION_DESC,SAMPLE_ANALYSIS_DESC,SAMPLE_VALUE_FLAG,BELOW_MDL_FLAG,CENSUS_TRACT_ID,CENSUS_TRACT_POPULATION_2010,MONITOR_LATITUDE,MONITOR_LONGITUDE
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2004,1,13-Jan-04,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0.0112,105,UG/CU METER (LC),3,,0.0112,L,88110,Cadmium (PM2.5),,0.01,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2002,2,22-Jun-02,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,,105,UG/CU METER (LC),3,,,L,88110,Cadmium (PM2.5),,0.0089,MIN_OF_ALT_MDL,AV,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,3,24-Jul-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.01,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,09-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.017,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,12-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.017,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,15-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.01,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,18-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.017,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,21-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.01,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,27-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0.00012,105,UG/CU METER (LC),3,,0.00012,L,88110,Cadmium (PM2.5),,0.01,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,,Y,34023006206,1841,40.472825,-74.422403
NJ,340230006,5,PM2.5 SPECIATION NETWORK,2005,2,30-Jun-05,00:00,88110,Cadmium (PM2.5),AQS_20171121,24 HOURS,0,105,UG/CU METER (LC),3,,0,L,88110,Cadmium (PM2.5),,0.017,ENTITY_ENTERED,,,,,,,,,,,,811,Met One SASS Teflon,Energy dispersive XRF,ND,,34023006206,1841,40.472825,-74.422403
